QID,URLNO,PNO,REL,EXPL
3,68,1,0,talking about 1976
3,68,2,0,ebola in 2013
3,68,3,0,comparing 2014 and 2015 ebola cases
3,68,4,1,initial outbreak
3,68,5,1,first death
3,68,6,1,first case 
3,68,7,1,october baji first case
3,68,8,1,first at that place
3,68,9,0,not the first case
3,68,10,0,in 2015
4,107,1,1,in 2014
4,110,1,1,in 2014
4,111,1,1,first in africa
4,112,1,1,first after 2013
4,113,1,1,first in 2014
6,76,1,1,
6,76,2,1,
6,76,3,1,
6,76,4,1,
6,76,5,1,
7,77,1,1,
7,77,2,1,
7,77,3,1,
7,77,4,1,
7,78,1,1,
8,79,1,1,
8,79,2,1,
8,79,3,1,
8,79,4,1,
8,79,5,1,
9,80,1,1,
9,80,2,1,
9,80,3,1,
9,81,1,1,
9,81,2,1,
10,82,1,1,
10,82,2,1,
10,82,3,1,
10,82,4,1,
10,82,5,1,
3,31,2,0,does not tell about successful treatment
3,33,1,1,gives full information about american patients who got first treated for ebola
3,33,2,0,does not tell who is first treated
3,36,1,1,gives full information about american patients who got first treated for ebola
3,36,2,0,does not tell anything about american patients
4,44,1,1,tells kent brantly successfully recovered
4,44,2,0,does not talk about successful treatment
4,45,1,1,gives full information about american patients who got first treated for ebola
4,45,2,0,does not talk about successful treatment
4,45,,1,tells brantly and writebol have successfully cured
4,48,1,1,tells brantly and writebol have successfully cured
4,48,2,0,does not tell if brantly is cured
4,49,1,0,does not tell about treatment
4,50,1,1,tells that kent is first us citizen to get cured from ebola
4,50,2,0,doesn't tell who is first us citizen to get cured from ebola
5,51,1,1,tells about kent and nancy
5,51,2,0,does not tell who is first treated
5,53,1,1,tells about kent and nancy
5,53,2,0,does not tell if they got treated
5,54,1,1,tells that kent is one of the two who got treated successfully
5,55,1,1,tells about kent and nancy
5,55,2,0,doesn't tell who is first us citizen to get cured from ebola
5,54,2,0,doesn't tell who is first us citizen to get cured from ebola
5,56,1,0,doesn't tell who is first us citizen to get cured from ebola
5,56,2,1,tells exactly who got successfully treated for ebola
6,57,1,1,tells who got treated
4,111,2,1,"  [typhus, maintaining personal hygiene, controlling the rodent population, avoiding places where exposure has occurred, chemoprophylaxis with doxycycline, lice, rodents, arthropods]"
4,112,1,1,"  [Immunization, louse control, vaccines, Lice may be eliminated by dusting infested people with malathion or lindane,  Lice]"
4,113,1,1,"  [Avoid areas where you might encounter rat fleas or lice, Good sanitation, public health measures, rat fleas, lice]"
4,113,2,1,"  [Bathing, Boiling clothes, avoiding infested clothing for at least 5 days, Using insecticides, 5 days, at least 5 days, lice]"
4,113,3,0,"  [Endemic typhus, jail fever, rats, fleas]"
4,113,4,0,"  [Murine typhus, during the summer and fall, rats feces, fleas, cats, opossums, raccoons, skunks]"
5,114,1,1,"  [cholera, vaccine, only water that has been boiled, water that has been chemically disinfected, bottled water, a few months]"
5,115,1,1,"  [Cholera, Drink and use safe water, Wash your hands often with soap and safe water, Use latrines or bury your feces (poop), Cook food well, peel fruits and vegetables, Clean up safely]"
5,115,2,1,"  [Dukoral, ShanChol, Currently]"
5,116,1,1,"  [cholera, providing clean water and proper sanitation, Health education, good food hygiene, hand-washing with soap after defecation and before handling food or eating, safe preparation and conservation of food ]"
5,116,2,1,"  [cholera, Provision of safe water, proper sanitation, food safety, Health education]"
5,116,3,0,"  [cholera, epidemic cholera]"
5,116,4,0,"  [Cholera, watery diarrhea, vomiting]"
6,117,1,1,"  [Ebola, Avoiding the Infection, Protecting Yourself From Infection, Taking Action if You Are Infected]"
6,118,1,1,"  [Ebola, Avoid any contact with someone you believe is infected, use protective gear such as face masks and gloves, Ebola virus]"
2,47,13,1,Gives the incubation period of Hep B
2,47,14,0,Does not give any indication of Incubation period
2,52,15,1,Gives the incubation period of Hep B
2,52,16,0,Does not give any indication of Incubation period
2,58,17,1,Gives the incubation period of Hep B
2,58,18,0,Does not give any indication of Incubation period
2,61,19,1,Gives the incubation period of Hep B
2,61,20,0,Does not give any indication of Incubation period
3,69,21,1,Gives the incubation period of Cholera
3,69,22,0,Does not give any indication of Incubation period
3,70,23,1,Gives the incubation period of Cholera
3,70,24,0,Does not give any indication of Incubation period
180,139,1,0,It is not providing the exact time
180,140,1,0,It is not providing the exact time
180,141,1,0,It is not providing the exact time
180,142,1,0,It is not providing the exact time
180,143,1,1,It is providing some relevant informaton on the treatment
180,143,2,0,It is not providing the exact time
180,144,1,0,It is not providing the exact time
180,144,2,1,It is providing some relevant informaton
180,145,1,1,It is providing some relevant informaton
180,145,2,1,It is providing some relevant informaton
181,146,1,1,It is providing some relevant informaton
181,146,2,0,It is not providing the informaton on the recovery
181,146,3,0,It is not providing the informaton on the recovery
181,147,1,1,It is providing some relevant informaton
181,148,1,1,It is providing some relevant informaton
181,149,1,1,It is providing some relevant informaton
181,149,2,0,It is not providing the informaton on the recovery
181,150,1,1,It is providing some relevant informaton
181,150,2,0,It is not providing the informaton on the recovery
181,150,3,0,It is not providing the informaton on the recovery
182,151,1,0,It is not providing the informaton on the recovery
182,151,2,0,It is not providing the informaton on the recovery
182,152,1,1,It is providing some relevant informaton
182,152,2,0,It is not providing the informaton on the recovery
182,153,1,1,It is providing some relevant informaton
106,320,1,1,It is giving the relevant information
106,320,2,1,It is giving the relevant information
106,321,1,1,It is giving the relevant information
106,321,2,1,It is giving the relevant information
106,322,1,1,It is giving the relevant information
106,322,2,0,It is not giving the relevant information
106,322,3,0,It is not giving the relevant information
107,323,1,1,It is giving the relevant information
107,323,2,1,It is giving the relevant information
107,323,3,1,It is giving the relevant information
107,324,1,1,It is giving the relevant information
107,325,1,1,It is giving the relevant information
