URLNO,PNO,RFN,VALUE
1,1,1,Viral hemorrhagic fevers
1,1,2,"vascular system,hemorrhage"
1,1,8,hemorrhagic fever viruses
1,2,1,Ebola hemorrhagic fever
1,2,2,"fever, fatigue, dizziness, muscle aches, loss of strength, and exhaustion"
1,2,6,1996
1,2,7,first
1,2,8,virus
2,1,1,Ebola
2,1,8,virus
3,1,1,Ebola virus disease (EVD)
3,1,8,Ebola virus 
4,1,1,Ebola
4,1,2,"decreased blood flow,red spots on the skin2015"
4,1,7,"early,first"
4,1,8,Ebola virus
5,1,1,Ebola
5,1,2,"sudden increase in body temperature,strong headaches,joint and muscle pain.Decreased appetite sore throat"
5,1,7,first
5,1,8,virus
5,2,1,Ebola
5,2,2,spontaneous bleeding
5,2,7,first
5,2,8,virus
6,1,1,Ebola
6,1,2,"fever, weakness, muscle pain, headaches and a sore throat"
6,1,4,no specific treatments
6,1,6,1976 2007 1994 2012 September
6,1,7,Early
6,1,8,"infections,Ebola virus"
7,1,1,Ebola
7,1,2,"influenza ,fever and chills, headache, joint and muscle aches, and weakness,maculopapular rash, cough, nausea and vomiting, and abdominal pain"
7,1,4,no treatment
7,1,7,early
7,1,8,Ebola-Reston Zaire strain of Ebola
7,2,1,Ebola
7,2,4,"supportive care: Fluid resuscitation to prevent dehydration, transfusion"
7,2,5,Ebola vaccine
7,2,8,virus
8,1,1,Ebola haemorrhagic fever
8,1,2,"body aches abdominal pain, the fever vomit"
8,1,6,December 2013   March 23 1979-2008 
8,1,7,every
8,1,8,AIDS virus Ebola virus
9,1,1,Ebola
9,1,7,first
9,1,8,Ebolas virus
10,1,1,EVD
10,1,2,"fever,elevated body temperature or subjective fever, chills, myalgias, and malaise"
10,1,6,8 to12
10,1,7,Initial
10,1,8,EVD Ebola virus
11,1,1,Ebola
11,1,2,"Severe diarrhea, nausea and vomiting Chest pain, shortness of breath, headache,confusion, bloodshot eyes, hiccups"
11,1,7,Initial
11,1,8,virus
12,1,1,Ebola
12,1,2,"nausea, vomiting, sore throat, stomach pain, and diarrhea"
12,1,6,4 to 16 7 to 16
12,1,7,first
12,1,8,Ebola virus infection
43,6,1,Ebola hemorrhagic fever
43,6,2,Ebola-associated abdominal signs
43,6,8,contaminated with the patient’s blood.
43,7,1,ebola
43,7,4,Ebola neutralizing antibody
43,7,8,GP of Ebola
43,8,1,ebola
43,8,4,Treatment includes an experimental serum that destroys infected cells.
43,8,8,serum
43,9,1,ebola
43,9,4,"Blood pressure medication,Blood transfusions"
43,9,8,fluids
43,10,1,ebola
43,10,4,oral rehydration therapy (drinking slightly sweetened and salty water) or giving intravenous fluids as well as treating symptoms. 
43,11,1,ebola
43,11,8,ebola virus
57,1,8,virus
57,2,4,ZMapp
57,2,7,first
57,3,2,"fever, aches, diarrhea and bleeding"
57,3,4,"giving fluids, monitoring vital signs and responding to acute medical crises"
59,1,7,today
59,1,7,Tuesday
59,2,2,vomit
59,2,8,virus
60,1,7,Tuesday
60,1,7,Thursday
60,2,7,August
62,1,7,first
62,1,7,early this month
62,2,7,July
62,2,8,virus
62,3,8,virus
63,1,4,ZMapp
63,1,7,first
63,2,8,virus
64,1,5,supportive therapy
64,2,7,after
64,2,7,24 hours
65,1,7,After
65,1,7,now
65,1,7,while
65,2,7,first
65,2,8,virus
66,1,7,Aug. 21
66,1,7,Aug. 19
66,1,7,early August
66,1,7,first
66,2,7,Tuesday
66,2,8,virus
67,1,7,first
67,1,7,Last month
67,2,7,Tuesday
67,2,7,early
67,2,8,virus
85,1,7,after
85,1,7,first
85,1,7,Thursday
105,1,1,ebola
105,1,3,MIT test
105,1,8,ebola virus
105,2,1,ebola
105,2,3,ELISA test
105,2,8,Ebola virus antigens
105,3,1,ebola
105,3,3,"indirect fluorescence antibody test (IFAT),immunoglobulin M (IgM) and immunoglobulin G (IgG) enzyme-linked immunosorbent assay (ELISA) tests"
105,3,8,Ebola virus infection
105,4,1,ebola
105,4,3,IgM-capture ELISA 
105,4,8,Zaire ebolavirus antigens
105,5,1,ebola
105,5,4,"immune system, according to the CDC"
105,5,8,ebola virus
106,1,1,ebola
106,1,4,blood transfusions
106,1,6,1995
106,1,8,edv virus
106,2,1,ebola
106,2,3,Zmapp
106,2,8,ebola virus
109,1,1,ebola
109,1,3,Zmapp
109,2,1,ebola
109,2,3,TKM-Ebola
109,2,6,41640
109,2,8,ebola virus
115,1,1,ebola
115,1,2," fever, weakness, decreased appetite, muscular pain, joint pain, headache, and sore throat"
115,1,8,ebola virus
115,2,1,ebola
115,2,2,"somedecreased blood clotting vomiting blood, coughing up of blood, or blood in stool"
115,2,4,thegastrointestinal tract
116,7,1,ebola
116,7,6,2014
116,7,7,first
116,8,1,ebola
116,8,6,2014
116,8,7,first
116,9,1,ebola
116,9,6,2014
116,9,7,first
116,10,1,ebola
116,10,6,2014
116,10,7,first
116,11,1,ebola
116,11,6,2014
116,11,7,first
116,12,1,ebola
116,12,6,2014
116,12,7,first
117,1,1,ebola
117,1,2,low blood pressure from fluid loss
117,2,1,ebola
117,2,2,"muscular and joint pain, liver inflammation, decreased hearing, and may have constitutional symptoms such as feeling tired, continued weakness, decreased appetite, and difficulty returning to pre-illness weight"
117,2,7,atleast 10 years
117,2,8,ebola disease
118,1,1,ebola
118,1,2,"fever, headache, joint and muscle pain, a sore throat"
118,1,8,ebola virus
120,1,1,ebola
120,1,2,fever
120,1,5,infectious people do not walk around spreading the disease for a long period.
120,2,1,ebola
120,2,2,"Fever greater than 101.5°F (38.6°C),Chills,Severe headache,Sore throat,Muscle pain,Weakness,Fatigue,Rash,Abdominal (stomach) pain,Diarrhea,Vomiting"
120,2,8,ebola virus
120,3,1,ebola
120,3,2,"Bleeding from the mouth and rectum,Bleeding from eyes, ears, and nose,Organ failure"
120,3,8,ebola disese
120,4,1,ebola
120,4,3,Real-time PCR testing
120,4,8,detect the Ebola virus (species Zaire ebolavirus)
120,5,1,ebola
120,5,5,"wash your hands with soap and water or an alcohol-based hand sanitizer and avoid contact with blood and body fluids (such as urine, feces, saliva, sweat, urine, vomit, breast milk, semen, and vaginal fluids)"
120,5,8,ebola virus
121,1,1,ebola
121,1,6,2014
121,1,7,first
122,3,7,21 days
122,3,5,quarantine period for holding individuals
122,3,7,appropriate
122,4,7,first 9 months
123,1,1,ebola
123,1,6,2014
123,1,7,initial
125,1,1,ebola
125,1,6,2014
125,1,7,initial
126,1,1,ebola
126,1,6,2014
126,1,7,initial
127,5,6,Twenty-one days
127,5,5,reduce risk of contagion
127,5,7,appropriate quarantine period
127,6,1,nature of contact
130,7,6,21 days
130,7,7,21 days
130,7,1,Reasonable Interpretation
130,8,5,quarantine periods
132,9,7,21 days
132,9,2,fever
132,9,2,bruising
132,9,2,severe headaches
132,9,2,muscle pain
132,9,2,diarrhea
132,9,2,vomiting
132,9,2,stomach pain
132,9,2,unexplained bleeding
132,10,5,practical measures
137,1,1,murine or endemic typhus
137,1,2,"Abdominal pain,Backache,Dull red rash that begins on the middle of the body and spreads,Extremely high fever (105 - 106 degrees Fahrenheit), which may last up to 2 weeks,Hacking, dry cough,Headache,Joint and muscle pain,Nausea,Vomiting"
137,2,1,typhus
137,2,2,"Chills,Confusion,Cough,Delirium,High fever (104 degrees Fahrenheit),Joint pain (arthralgia),Lights that appear very bright; light may hurt the eyes,Low blood pressure,Rash that begins on the chest and spreads to the rest of the body (except the palms of the hands and soles of the feet),Severe headache,Severe muscle pain (myalgia),Stupor"
138,11,7,7 days or longer
138,11,7,less than 1 week
138,11,1,not malaria
138,12,8,female Anopheles mosquitoes
138,12,7,between dusk and dawn
139,1,1,typhus
139,1,2,"headache,high fever,chills,rash,Rare symptoms of epidemic typhus include stupor and seeming out of touch with reality."
140,1,1,typhus
140,1,2,Back pain Delirium High fever (40 °C or 104 °F) Joint pain Low blood pressure Photophobia (sensitivity to light) Rashes Severe headaches Severe muscle pains
140,2,1,Murine typhus
140,2,2,"Abdominal pain Backache Dull red rash that begins on the middle of the body and spreads Extremely high fever (41 °C or 105–106 °F) Hacking, dry cough Severe Headaches Joint pain Muscle pain Vomiting"
143,13,7,between 10 days to four weeks
143,13,7,be as short as seven days
143,13,7,as long as several years
143,14,8,Plasmodium falciparum
143,14,8,Plasmodium malariae
186,1,1,typhus
186,1,2,"high fever, with chills and headache"
186,1,2,fever
186,1,2,headache
186,1,2,muscle ache and pains
186,1,2,"cough, "
186,1,2,abdominal pain
186,1,2,nausea and vomiting
186,1,2,diarrhea
186,1,1,cholera
186,1,2,diarrhea and dehydration
186,1,7,in a matter of hours
186,1,8,bacterial
187,1,1,cholera
187,1,2,mild diarrhea
187,1,4,requiring treatment at a health center
187,1,8,Vibrio cholerae O1
188,1,1,cholera
188,1,7,5 days
188,1,7,7 days after discharge
189,1,1,Ebola
189,1,2,"high fever, headache"
189,1,2,"abdominal pain, diarrhea, vomiting"
189,1,2,macular rash
189,1,6,34639
189,1,7,after 15 years
189,1,8,Ebola virus
190,1,1,Ebola
190,1,2,"sudden onset of fever,"
190,1,2,"feeling weak,"
190,1,2,"muscle pain, "
190,1,2,headaches and a sore throat
190,1,2,"rashes, red eyes, hiccups"
190,2,1,Ebola
190,2,4,supportive therapy
190,2,4,maintaining their oxygen status and blood pressure
190,2,5,proper protective clothing
191,1,1,cholera
191,1,2,purging diarrhoea and copious vomiting
191,1,2,"cramps afflicted legs, arms, abdomen and back"
191,1,7,longer than five days and sometimes less than one
191,2,1,typhus
191,2,2,"headache and general pains, chills and fevers, "
191,2,7,1833
192,1,1,typhus
192,1,2,headache and high temperature (fever)
192,1,4,antibiotics
192,1,8,germ (bacterium) Salmonella typhi
210,35,7,one to two weeks
210,35,8,R. prowazekii
210,35,8,louse feces
210,35,7,many weeks
848,1,1,malaria
848,2,1,"malaria, infectious tropical diseases"
849,1,1,malaria
849,1,4,"antimalarial, antibiotic"
850,1,1,"malaria, pneumonia, diarrhea, tuberculosis, and HIV/AIDS"
850,2,1,malaria
850,2,2,"fever, chills, sweats, headaches, muscle pains, nausea and vomiting"
850,2,8,Plasmodium falciparum
851,1,1,typhus
851,1,8,dengue virus infection
851,2,1,"typhus, typhoid"
851,2,2,"malaise, headache, myalgia, fever"
851,3,1,"typhus, typhoid"
851,3,2,"watery diarrhoea, high continued fever"
851,4,1,typhus
851,4,8,dengue virus infection
851,5,1,"typhus, typhoid"
851,5,2,"malaise, headache, myalgia, fever"
851,6,1,Ebola
851,6,8,Ebola virus
852,1,1,typhus
852,1,2,ill
852,1,5,pills
852,2,1,typhus
852,2,4,"doxycycline (100 mg PO bid for 5 days), cholramphenicol (500 mg qid PO for 7-10 days), ciprofloxacin (750 mg bid PO for 5 days)"
852,2,5,antibiotics
852,3,1,cholera
852,4,1,cholera
852,5,1,cholera
853,1,1,cholera
854,1,1,cholera
854,2,1,cholera
854,2,5,emetic of salt and water
854,2,6,backs
854,3,1,cholera
855,1,1,ebola
855,2,1,Ebola
855,2,8,Zaire Ebolavirus
855,3,1,ebola
855,4,1,ebola
855,5,1,ebola
856,1,1,ebola
856,2,1,ebola
856,2,5,"administering fluids, preventing infections"
856,3,1,ebola
856,3,4,develop antibodies
856,3,8,ebola virus
856,4,1,malaria
856,4,8,Plasmodium falciparum
857,1,1,malaria
857,1,4,quinine
857,1,8,malarial parasites
857,2,1,malaria
857,2,8,Plasmodium falciparum
857,3,1,malaria
857,3,4,quinine
857,3,8,malarial parasites
857,4,1,Ebola
858,1,1,malaria
859,1,1,malaria
859,1,2," nausea, vomiting"
859,1,4,antimalarials
859,2,1,malaria
859,2,2,hypoglycemia
859,2,5,Chloroquine
859,3,1,typhus
859,4,1,typhus
859,4,8,dengue virus
859,5,1,typhus
859,5,4,antimicrobial treatment
859,5,8,bacterial infection
859,6,1,typhus
859,7,1,typhus
859,7,8,dengue virus
860,1,1,typhus
860,1,4,antibiotic treatment
860,1,8,epidemic typhus
860,2,1,typhus
860,2,4,emergency care
860,2,5,"Good sanitation, public health measures"
861,1,1,Ebola
862,1,1,ebola
862,1,4,protecting health care workers
862,2,1,ebola
863,1,1,ebola
863,2,1,ebola
863,2,2,sick
864,1,1,ebola
864,2,1,ebola
864,3,1,ebola
864,3,5,isolation
865,1,1,"yellow fever, typhus"
866,1,1,Ebola
866,1,5,"patient isolated, Kansas City"
867,1,1,Ebola
867,1,5,placed in an isolation
868,1,1,EVD
869,1,1,Ebola
869,1,8,"deadly virus, ebola virus"
869,2,1,"Ebola, Typhoid Fever, Typhus"
869,2,2,"high fever, nausea, vomiting, diarrhea"
869,2,8,Ebola virus
869,3,1,Ebola
869,3,2,black vomit
869,3,6,stomach
869,4,1,Ebola
869,5,1,"Ebola, malaria"
869,5,2,flu-like
869,6,1,Ebola
869,6,2,flu-like
869,6,5,patient remains in isolation
869,7,1,Ebola
869,7,5,patient in isolation
870,1,1,Ebola
870,1,8,deadly virus
870,2,1,"Ebola, malaria"
870,2,8,Ebola virus
870,3,1,EVD
870,3,6,"blood, body fluids"
870,4,8,"Filoviridae,Cuevavirus,MArburgvirus,Ebolavirus"
870,5,1,"Ebola Virus Desease,Ebola haemorrhagic fever"
