QID,URLNO,PNO,REL,EXPL
284,878,1,0,"[Ebola,  inability to activate T-cells]"
284,878,2,0,"[Ebola, sharp decline of lymphocytes, white blood cells, lymph nodes, liver, spleen]"
284,877,1,0,[Ebola]
284,876,1,0,"[Ebola,malaria, typhoid fever,  fever, chills, muscle pain, sore throat, weakness and general discomfort,Chest pain,bleeding from eyes ears nose mouth, face,neck,torso,arms,chest,eyes,ears,nose mouth.]"
283,875,1,0,"[Ebola,  irritation to the diaphragm, ocularinjection and in very light skinned persons a macular rash.]"
284,875,2,0,"[Ebola,  fever, muscle pain, headache, sore throat, or fatigue,vomiting, diarrhea, rashes, and impaired kidney or liver, muscle,head,throat,kidney,liver]"
284,875,3,0,"[Ebola,  flu-like symptoms,hemorrhagic symptoms,bleeding out of the eyes,minor bleeding, some may just have bleeding, eyes,gums]"
284,875,4,0,"[Ebola, blood clots, liver, brain, kidneys,lungs, intestines, testicles]"
284,875,5,0,"[Ebola,  blood thickens and slows, and clots begin to stick to the walls of blood vessels, brain, liver, kidneys, lungs,intestines, testicles, breast tissue]"
283,874,1,0,"[Ebola, bleeding from their eyes, ears, nose, Ebola virus]"
283,873,1,0,"[Ebola,  bleed from the nose and mouth,impaired kidney and liver function,blood in the stoolses, bleeding in the brain can lead to severe depression,, nose,mouth,kidney,liver,brain., Ebola virus]"
283,873,2,0,"[Ebola,  bleed from the nose and mouth,impaired kidney and liver function,blood in the stoolses, bleeding in the brain can lead to severe depression,, nose,mouth,kidney,liver,brain., Ebola virus]"
283,873,3,0,"[Ebola, Ebola virus]"
283,872,1,0,"[Ebola,  diarrhea, dark or bloody feces,vomiting blood, red eyes due to distention and hemorrhage of sclerotic arterioles,, eyes,mouth,rectum,anus,nose,brain., Ebola virus]"
282,871,1,0,"[ Blood clots,blood flow weakens,red spots, liver,brain,lungs,kidneys,intestines,breast,testicles, Ebola virus]"
282,871,2,0,"[Ebola, Ebola virus]"
282,871,3,0,"[ fever,headache,muscle aches,rash,chest pain,vomiting,diarrhea,bleeding,shock, head,muscle,chest,liver,kidney, Ebola virus]"
282,871,4,0,"[Ebola,  hemorrhagic fever,chills,myalgia,nausea,vomiting,diarrhea,chestpain,cough,headache,malaria,dysentery,influenza, chest,head, Ebola virus]"
282,871,5,0,"[ malaria,fever,plague,rash,red eyes,hiccups,chest pain,vomiting,diarrhea, liver,eyes,chest,kidney, Ebola virus]"
282,871,6,0,"[., Ebola virus]"
282,871,7,0,"[ Blood clotting, Ebola virus]"
283,871,8,0,"[Ebola,  feeling tired, fever, pain in the muscles and joints,headache, and sore throat,vomiting, diarrhea and abdominal, muscles,joints,head,throat,abdomen,chest, Ebola virus]"
283,871,9,0,"[Ebola,  sudden increase in body temperature, strong headaches, and joint and muscle pain,Diarrhea, vomiting, and stomach pain., muscles,joints,head,stomach,eyes,nose,tongue., Ebola virus]"
280,870,1,0,"[Ebola, deadly virus]"
280,870,2,0,"[Ebola, malaria, Ebola virus]"
280,870,3,0,"[EVD, blood, body fluids]"
280,870,4,0,"[Filoviridae,Cuevavirus,MArburgvirus,Ebolavirus]"
280,870,5,0,"[Ebola Virus Desease,Ebola haemorrhagic fever,  Illness, Wild animals]"
280,870,6,0,"[ensure the safety,  continue to take recommended precautions]"
281,870,7,0,"[ Blood clots,Red spots,bleeding, liver,brain,lungs,kidneys,intestines,breast,testicles, Ebola virus]"
281,870,8,0,"[ Blood clots,Red spots,bleeding, liver,brain,lungs,kidneys,intestines,breast,testicles, Ebola virus]"
281,870,9,0,"[ Blood clots,Red spots,bleeding, liver,brain,lungs,kidneys,intestines,breast,testicles, Ebola virus]"
281,870,10,0,"[Ebola,  headaches,muscle pain,decreased appetite,sore throat,white blisters,red spots,bleeding., skin,head,muscle,eyes,nose,mouth.]"
281,870,11,0,"[ fever fatigue,muscle pain,headache,sore throat,vomiting,diarrheo,rash,bleeding, head,muscle,throat,kidney,liver, Ebola virus]"
281,870,12,0,"[Ebola, Ebola virus]"
281,870,13,0,"[Ebola, Ebola virus]"
282,870,14,0,"[liver,brain,kidney,spleen., Ebola virus]"
279,869,1,0,"[Ebola, deadly virus, ebola virus]"
279,869,2,0,"[Ebola, Typhoid Fever, Typhus, high fever, nausea, vomiting, diarrhea, Ebola virus]"
279,869,3,0,"[Ebola, black vomit, stomach]"
279,869,4,0,[Ebola]
280,869,5,0,"[Ebola, malaria, flu-like]"
280,869,6,0,"[Ebola, flu-like, patient remains in isolation]"
280,869,7,0,"[Ebola, patient in isolation]"
279,868,1,0,[EVD]
279,867,1,0,"[Ebola, placed in an isolation]"
279,866,1,0,"[Ebola, patient isolated, Kansas City]"
279,865,1,0,"[yellow fever, typhus]"
278,864,1,0,[ebola]
278,864,2,0,[ebola]
278,864,3,0,"[ebola, isolation]"
278,863,1,0,[ebola]
278,863,2,0,"[ebola, sick]"
278,862,1,0,"[ebola, protecting health care workers]"
278,862,2,0,[ebola]
277,861,1,0,[Ebola]
277,860,1,0,"[typhus, antibiotic treatment, epidemic typhus]"
277,860,2,0,"[typhus, emergency care, Good sanitation, public health measures]"
276,859,1,0,"[malaria,  nausea, vomiting, antimalarials]"
276,859,2,0,"[malaria, hypoglycemia, Chloroquine]"
277,859,3,0,[typhus]
277,859,4,0,"[typhus, dengue virus]"
277,859,5,0,"[typhus, antimicrobial treatment, bacterial infection]"
277,859,6,0,[typhus]
277,859,7,0,"[typhus, dengue virus]"
276,858,1,0,[malaria]
276,857,1,0,"[malaria, quinine, malarial parasites]"
276,857,2,0,"[malaria, Plasmodium falciparum]"
276,857,3,0,"[malaria, quinine, malarial parasites]"
276,857,4,0,[Ebola]
275,856,1,0,[ebola]
275,856,2,0,"[ebola, administering fluids, preventing infections]"
275,856,3,0,"[ebola, develop antibodies, ebola virus]"
276,856,4,0,"[malaria, Plasmodium falciparum]"
275,855,1,0,[ebola]
275,855,2,0,"[Ebola, Zaire Ebolavirus]"
275,855,3,0,[ebola]
275,855,4,0,[ebola]
275,855,5,0,[ebola]
274,854,1,0,[cholera]
274,854,2,0,"[cholera, emetic of salt and water, backs]"
274,854,3,0,[cholera]
274,853,1,0,[cholera]
273,852,1,0,"[typhus, ill, pills]"
273,852,2,0,"[typhus, doxycycline (100 mg PO bid for 5 days), cholramphenicol (500 mg qid PO for 7-10 days), ciprofloxacin (750 mg bid PO for 5 days), antibiotics]"
274,852,3,0,[cholera]
274,852,4,0,[cholera]
274,852,5,0,[cholera]
273,851,1,0,"[typhus, dengue virus infection]"
273,851,2,0,"[typhus, typhoid, malaise, headache, myalgia, fever]"
273,851,3,0,"[typhus, typhoid, watery diarrhoea, high continued fever]"
273,851,4,0,"[typhus, dengue virus infection]"
273,851,5,0,"[typhus, typhoid, malaise, headache, myalgia, fever]"
273,851,6,0,"[Ebola, Ebola virus]"
272,850,1,0,"[malaria, pneumonia, diarrhea, tuberculosis, and HIV/AIDS]"
272,850,2,0,"[malaria, fever, chills, sweats, headaches, muscle pains, nausea and vomiting, Plasmodium falciparum]"
272,849,1,0,"[malaria, antimalarial, antibiotic]"
272,848,2,0,"[malaria, infectious tropical diseases]"
146,541,1,0,It does not contain information about first organ attacked
146,540,1,0,It does not contain information about first organ attacked
146,539,1,0,It does not contain information about first organ attacked
146,538,1,1,It contains the info about the first organ effected by malaria
146,537,1,0,It does not contain information about first organ attacked
146,536,1,1,It contains the info about the first organ effected by malaria
146,535,1,1,It contains the info about the first organ effected by malaria
146,534,1,0,It does not contain information about first organ attacked
146,533,1,1,It contains the info about the first organ effected by malaria
146,532,1,1,It contains the info about the first organ effected by malaria
145,531,1,1,It contains the info about the first organ effected by malaria
145,530,1,0,It does not contain information about first organ attacked
145,529,1,1,It contains the info about the first organ effected by malaria
145,528,1,1,It contains the info about the first organ effected by malaria
145,527,1,1,It contains the info about the first organ effected by malaria
145,526,1,0,It does not contain information about first organ attacked
145,526,2,0,It does not contain information about first organ attacked
145,525,1,0,It does not contain information about first organ attacked
145,524,1,1,It contains the info about the first organ effected by malaria
145,523,1,1,It contains the info about the first organ effected by malaria
144,522,1,0,It does not contain information about first organ attacked
144,521,1,0,It does not contain information about first organ attacked
144,520,1,0,It does not contain information about first organ attacked
144,519,1,1,It contains the info about the first organ effected by malaria
144,518,1,0,It does not contain information about first organ attacked
144,517,1,0,It does not contain information about first organ attacked
144,516,1,1,It contains the info about the first organ effected by malaria
144,515,1,1,It contains the info about the first organ effected by malaria
144,514,1,1,It contains the info about the first organ effected by malaria
144,513,1,1,It contains the info about the first organ effected by malaria
143,512,1,0,It does not contain information about first organ attacked
140,471,1,1,It is giving the relevant information
140,471,2,0,It is not giving the relevant information
140,470,1,0,It is not giving the relevant information
140,469,1,0,It is not giving the relevant information
140,468,1,1,It is giving the relevant information
140,468,2,1,It is giving the relevant information
140,468,3,0,It is not giving the relevant information
140,467,1,1,It is giving the relevant information
140,467,2,0,It is not giving the relevant information
140,466,1,1,It is giving the relevant information
139,465,1,1,It is giving the relevant information
139,465,2,0,It is not giving the relevant information
139,464,1,1,It is giving the relevant information
139,463,1,1,It is giving the relevant information
139,463,2,1,It is giving the relevant information
139,462,1,0,It is not giving the relevant information
139,461,1,0,It is not giving the relevant information
139,461,2,1,It is giving the relevant information
139,460,1,0,It is not giving the relevant information
139,459,1,0,It is not giving the relevant information
138,458,1,1,It is giving the relevant information
138,457,1,0,It is not giving the relevant information
138,456,1,0,It is not giving the relevant information
138,455,1,0,It is not giving the relevant information
138,454,1,1,It is giving the relevant information
138,454,2,1,It is giving the relevant information
138,453,1,1,It is giving the relevant information
138,452,1,1,It is giving the relevant information
138,451,1,0,It is not giving the relevant information
138,450,1,0,It is not giving the relevant information
137,449,1,0,It is not giving the relevant information
137,448,1,1,It is giving the relevant information
137,448,2,1,It is giving the relevant information
137,448,3,0,It is not giving the relevant information
137,447,1,1,It is giving the relevant information
137,447,2,0,It is not giving the relevant information
137,446,1,1,It is giving the relevant information
137,445,1,0,It is not giving the relevant information
137,444,1,1,It is giving the relevant information
137,443,1,0,It is not giving the relevant information
136,442,1,0,It is not giving the relevant information
136,441,1,1,It is giving the relevant information
136,441,2,1,It is giving the relevant information
136,441,3,0,It is not giving the relevant information
136,440,1,1,It is giving the relevant information
136,439,1,1,It is giving the relevant information
136,439,2,0,It is not giving the relevant information
136,438,1,1,It is giving the relevant information
136,437,1,0,It is not giving the relevant information
136,436,1,0,It is not giving the relevant information
110,336,1,1,It is giving the relevant information
110,336,2,0,It is not giving the relevant information
110,336,3,0,It is not giving the relevant information
110,335,1,1,It is giving the relevant information
110,335,2,1,It is giving the relevant information
110,334,1,1,It is giving the relevant information
110,333,1,1,It is giving the relevant information
109,332,1,1,It is giving the relevant information
109,332,2,1,It is giving the relevant information
109,332,3,0,It is not giving the relevant information
109,332,4,0,It is not giving the relevant information
109,331,1,1,It is giving the relevant information
109,331,2,1,It is giving the relevant information
109,330,1,1,It is giving the relevant information
108,329,1,0,It is not giving the relevant information
108,329,2,0,It is not giving the relevant information
108,328,1,1,It is giving the relevant information
108,328,2,1,It is giving the relevant information
4,210,35,1,Gives the incubation period of Typhus
4,210,36,0,Does not Gives the incubation period
20,208,1,1,typhus symptoms
20,207,1,1,typhus symptoms
20,206,1,1,typhus symptoms
20,205,1,1,typhus symptoms
20,203,1,1,typhus symptoms
19,202,1,1,malaria symptoms
19,201,1,1,malaria symptoms
19,199,1,1,malaria symptoms
19,196,1,1,malaria symptoms
19,196,2,1,malaria symptoms
18,195,1,1,ebola symptoms
18,194,1,1,ebola symptoms
18,193,1,1,ebola symptoms
18,193,2,1,ebola symptoms
17,191,1,1,ebola symptoms
18,191,2,1,ebola symptoms
17,190,1,1,ebola symptoms
17,190,2,1,ebola symptoms
17,190,3,1,ebola symptoms
17,189,1,1,ebola symptoms
187,188,1,0,It is not providing relevant information
187,187,1,0,It is not providing relevant information
187,186,2,1,It is providing relevant information
2,143,13,1,Gives the quarantine period of Malaria
2,143,14,0,Does not gives the quarantine period of Malaria
4,140,1,1,
4,140,2,1,
4,139,1,1,
2,138,11,1,Gives the quarantine period of Malaria
2,138,12,0,Does not gives the quarantine period of Malaria
4,137,1,1,
4,137,2,1,
1,132,9,1,Gives the quarantine period of Ebola
1,132,10,0,Does not gives the quarantine period of Ebola
1,130,7,1,Gives the quarantine period of Ebola
1,130,8,0,Does not gives the quarantine period of Ebola
1,127,5,1,Gives the quarantine period of Ebola
1,127,6,0,Does not gives the quarantine period of Ebola
8,126,1,1,out of africa 2014
8,125,1,1,first person in texas
8,123,1,1,first of limerea
1,122,3,1,Gives the quarantine period of Ebola
1,122,4,0,Does not gives the quarantine period of Ebola
8,121,1,1,first of mali
20,120,1,1,
20,120,2,1,
20,120,3,1,
20,120,4,1,
20,120,5,1,
19,118,1,1,
19,117,1,1,
19,117,2,1,
7,116,7,1,in senegal 2014
7,116,8,1,in nigerea 2014
7,116,9,1,first known nigerea
7,116,10,1,relevant
7,116,11,1,relevant
8,116,12,1,in 2014 mali
19,115,1,1,
19,115,2,1,
17,109,1,1,
17,109,2,1,
17,106,1,1,
17,106,2,1,
16,105,1,1,
16,105,2,1,
16,105,3,1,
16,105,4,1,
16,105,5,1,
17,43,6,1,
18,43,7,1,
18,43,8,1,
18,43,9,1,
18,43,10,1,
18,43,11,1,
1,7,1,1,It contains the info about the first organ effected by malaria
1,6,1,1,It contains the info about the first organ effected by malaria
1,5,1,1,It contains the info about the first organ effected by malaria
1,5,2,1,It contains the info about the first organ effected by malaria
1,4,1,1,It contains the info about the first organ effected by malaria
1,3,1,0,It does not contain information about first organ attacked
1,2,1,0,It does not contain information about first organ attacked
1,1,1,0,It does not contain information about first organ attacked
1,1,2,0,It does not contain information about first organ attacked
