URLNO,PNO,RFN,Value
8,1,1,Ebola
8,1,4,ZMapp
8,1,7,first
9,1,1,Ebola
9,1,7,Tuesday
9,1,7,Today
9,1,7,Thursday
9,1,8,virus
10,1,1,Ebola
10,1,4,ZMapp
10,1,7,first
10,1,7,Thursday
10,1,8,virus
9,2,1,Ebola
9,2,7,first
9,2,7,After
9,2,8,virus
9,2,1,Ebola
9,2,4,maintain their blood pressure
9,2,4,supportive care to keep them hydrated
9,2,8,bodily fluids
11,1,1,Ebola
11,1,7,current
11,2,1,Ebola
11,2,7,after several weeks
11,2,7,Wednesday
11,2,7,first
11,2,8,virus
11,3,1,Ebola
11,3,2,"fever and flu-like symptoms,followed by gastrointestinal illness and hemorrhaging"
11,3,2,vomited blood
11,3,4,neurological medication
11,3,2,peripheral neuropathy -- numbness and tingling -- in her feet
11,3,2,nerve pain
11,3,7,seventh
11,4,1,Ebola
11,4,4,ZMapp
11,4,4,immune globulins from blood plasma of a healthy person
11,5,1,Ebola
11,5,5,stay hydrated 
12,1,1,Ebola
12,1,7,july
12,2,1,Ebola
12,2,7,first
13,1,7,while
13,1,7,first
13,1,8,virus
13,2,8,virus
14,1,4,ZMapp
14,1,7,Tuesday
14,1,7,Thursday
14,1,7,three weeks
14,2,7,as of now
14,2,7,During
14,2,7,longer
14,3,4,ZMapp
14,3,7,At the moment
14,3,8,virus
15,1,7,first
15,1,7,minute
15,1,7,ninth day
15,1,7,Thursday
15,1,8,virus
16,1,7,this week
16,1,7,Thursday
16,1,7,no longer
16,1,8,virus
18,1,4,ZMapp
18,1,7,first
18,1,8,virus
20,1,2,vomiting
20,1,4,blood transfusion
20,1,7,few days later
20,2,7,first
20,2,8,virus
30,1,7,now
30,1,7,Thursday
30,1,8,virus
30,2,8,virus
31,1,7,On August 21
113,2,1,ebola
113,2,6,2014
113,2,7,first
113,3,1,ebola
113,3,6,2014
113,3,7,first
113,4,1,ebola
113,4,6,2014
113,4,7,first
114,1,1,ebola
114,1,6,2014
114,1,7,first
116,1,1,ebola
116,1,6,2014
116,1,7,first
116,2,1,ebola
116,2,6,2014
116,2,7,first
116,3,1,ebola
116,3,6,2014
116,3,7,first
116,4,1,ebola
116,4,6,2014
116,4,7,first
116,5,1,ebola
116,5,6,2014
116,5,7,first
116,6,1,ebola
116,6,6,2014
116,6,7,first
134,1,1,malaria
134,1,2,"flu-like infection from P. falciparum is similar to infection from P. vivax, P. malariae,and P. ovale."
134,2,1,malaria
134,2,2,Dry (nonproductive) cough.Muscle or back pain or both.Enlarged spleen
134,3,1,malaria
134,3,2,cycle of symptoms is also one of the major signs that you are infected with malaria
134,3,8,malaria
134,4,1,malaria
134,4,2,Fever.Chills.Headache.Sweats.Fatigue.Nausea and vomiting
134,4,8,bacteria
136,1,1,malaria
136,1,2,"fever and chills,headaches,nausea and vomiting,general weakness and body aches."
82,1,1,ebola
82,1,2,contaminated with the blood or body fluids of a person sick with Ebola
82,1,8,fluids
82,2,1,ebola
82,2,2,fever
82,2,8,ebola virus
82,3,1,ebola
82,3,2,fever
82,3,4,irreversible shock
82,3,5,specific therapies
