QID,URLNO,PNO,REL,EXPL
1,8,1,1,It explains who successfully got treated for ebola
1,9,1,1,It explains who successfully got treated for ebola
1,10,1,1,shows names of the persons and states they are first
1,9,2,1,shows names of the persons and states they are first
1,9,2,0,does not tell about who got cured and when
1,11,1,0,does not tell about who got cured and when
1,11,2,1,gives information about patients who first got treated
1,11,3,0,does not tell about who got cured and when
1,11,4,0,does not tell about who got cured and when
1,11,5,0,does not tell about who got cured and when
2,12,1,0,does not tell about who got cured and when
2,12,2,0,does not tell about who got cured and when
2,13,1,1,It explains who successfully got treated for ebola
2,13,2,0,does not tell about who got cured and when
2,14,1,1,It explains who successfully got treated for ebola
2,14,2,0,does not tell about who got cured and when
2,14,3,0,does not tell about who got cured and when
2,15,1,1,It explains who successfully got treated for ebola
2,16,1,1,It explains who successfully got treated for ebola
2,18,1,1,It explains who successfully got treated for ebola
3,20,1,0,does not tell about successful treatment
3,20,2,1,states that who got treated and when
3,30,1,1,states that who got treated and when
3,30,2,0,does not tell about successful treatment
3,31,1,1,states that who got treated and when
5,113,2,1,first in area of 2014
5,113,3,1,initial at glasgov
5,113,4,1,in 2014
5,114,1,1,in 2014
5,116,1,1,first in 2014
6,116,2,1,initial of 2014
6,116,3,1,US 2014 cases
6,116,4,1,in guniea 2014
6,116,5,1,in lumeria
6,116,6,1,in sierra
7,134,1,1,relevant
7,134,2,1,relevant
7,134,3,1,relevant
7,134,4,1,relevant
7,136,1,1,relevant
8,82,2,1,relevant information
8,82,3,1,relevant information
8,82,4,1,relevant information
8,82,5,1,relevant information
8,83,1,1,relevant information
8,83,2,1,relevant information
8,83,3,1,relevant information
8,83,4,1,relevant information
8,83,5,1,relevant information
9,84,1,1,relevant information
9,84,2,1,relevant information
9,84,3,1,relevant information
9,84,4,1,relevant information
9,84,5,1,relevant information
10,85,1,1,relevant information
10,85,2,1,relevant information
10,85,3,1,relevant information
10,85,4,1,relevant information
10,85,5,1,relevant information
11,86,1,1,relevant information
11,88,1,1,relevant information
11,88,2,1,relevant information
11,88,3,1,relevant information
11,88,4,1,relevant information
12,103,1,1,relevant information
