URLNO,PNO,RFN,VALUE
1,1,1,ebola
1,1,6,2014
1,2,1,ebola
1,2,6,2014
3,1,1,ebola
3,1,6,2014
5,1,1,ebola
5,1,6,2014
5,2,1,ebola
5,2,6,2014
5,3,1,ebola
5,3,6,2014
5,3,7,not initial
5,4,1,ebola
5,4,6,2014
5,4,7,not initial
2,1,1,ebola
2,1,6,2014
2,1,7,late 2014
4,1,1,ebola
4,1,6,2014
4,1,7,first in 2014
4,2,1,ebola
4,2,6,1976
4,2,7,old
7,1,1,guniea
7,1,6,2014
7,1,7,latest
19,1,1,ebola
19,1,6,2014
19,1,7,first
19,2,1,ebola
19,2,6,2014
19,2,7,second
21,1,1,ebola
21,1,6,2014
21,1,7,initial
21,2,1,ebola
21,2,6,2014
21,3,1,ebola
21,3,6,1976
21,3,7,first
32,1,1,ebola
32,1,6,2014
6,2,1,ebola
6,2,6,2014
6,2,7,first
6,3,1,ebola
6,3,6,2014
38,1,1,ebola
38,1,6,2014
38,1,7,initial
124,1,1,ebola
124,1,2,"Fever,Severe headache,Muscle pain"
124,2,1,ebola
124,2,2,"Weakness,Fatigue,Diarrhea"
124,3,1,ebola
124,3,2,"Vomiting,Abdominal (stomach) pain,Unexplained hemorrhage (bleeding or bruising)"
128,1,1,ebola
128,1,2,"bleeding both inside and outside the body (for example, mucosal surfaces, eyes) and difficulty breathing and swallowing."
128,1,8,ebola virus
129,1,1,ebola
129,1,2,"fever, headache, body aches, cough, stomach pain, vomiting, and diarrhea"
22,2,1,ebola
22,2,3,electron microscopy
22,2,4,RT - qPCR
22,2,5,RT - qPCR
22,2,7,ebola virus
22,1,1,ebola
22,1,3,EBOVdtec-RT-qPCR
22,1,2,diarrhea
22,1,7,Zaire ebolavirus
23,1,1,ebola
23,1,3,anti body based detection
23,1,4,RT - qPCR
23,1,5,RT - qPCR
23,1,7,ebola virus
24,1,1,Viral hemorrhagic fevers 
24,1,3,PCR
24,1,4,SybrGreen
24,1,7,Lassa virus
25,1,1,ebola
25,1,3,PCR
26,1,1,ebola
26,1,3,EBOV NP rRT-PCR
26,1,7,ebola virus RNA
26,2,1,Ebola
26,2,3,EBOV NP rRT-PCR
26,2,7,ebola virus RNA
25,2,1,ebola
25,2,3,FDA
25,2,6,august
25,3,2,illness
25,3,3,low hanging fruit
25,4,1,HPV
25,4,2,cancer
25,4,4,genotyping
25,5,3,nucleic acid amplification
25,5,5,food
25,5,7,coming year
26,3,1,ebola
26,3,3,CDC
26,3,5,CDC
26,3,7,ebola virus
27,1,1,ebola
27,1,3,CDC
27,1,8,ebola virus
27,2,1,ebola
27,2,3,CDC
27,2,8,ebola virus 
26,4,1,ebola
26,4,2,"high fewer, vomitimg and diarrhea"
26,5,1,ebola
26,5,5,is not airborne is harder to spread and rigorous infection control procedures
26,5,8,ebola virus
28,1,1,ebola
28,1,2,"Elevated body temperature or subjective fever or symptoms, including severe headache, fatigue, muscle pain, vomiting, diarrhea, abdominal pain, or unexplained hemorrhage"
28,1,3,persons who meet the criteria for persons under investigation (PUIs) for EVD
28,2,1,ebola
28,2,3,whole blood collected in a plastic tube preserved with EDTA is the preferred sample for testing
28,2,8,ebola virus
30,1,1,ebola
30,2,1,"ebola, malaria and typhoid"
30,2,2,fever
29,3,1,ebola
29,3,3,Samples from the patient can then be collected and tested to confirm infection
29,3,8,contaminated blood
31,1,1,ebola and marburg hemorrhagic fever
31,1,3,blood test
31,1,8,ebola or marburg virus
31,2,1,ebola
31,2,3,labs can test for ebola
31,2,8,ebola or marburg virus
32,1,1,ebola
32,1,2,fever
32,1,3,begin-Antigen-capture enzyme-linked immunosorbent assay (ELISA) testing IgM ELISA-Polymerase chain reaction (PCR) Virus isolation Later in disease course or after recovery
32,1,8,ebola PCR virus
32,2,1,ebola
32,2,3,ReEBOV Antigen Rapid Test Kit
32,2,5,"to provide minimum quality, safety and performance assurance for diagnostic products in the context of the Ebola emergency."
32,3,1,ebola
32,3,3,Nucleic acid tests (NATs) 
32,3,8,ebola virus
32,4,1,ebola
32,4,7,last 21 days
32,4,8,virus
32,5,1,ebola
32,5,8,ebola virus
74,1,1,ebola
74,1,3,detected in samples collected from bats
74,1,6,2014- 2015
74,1,8,ebola virus
74,3,1,ebola
74,3,2,illness
74,3,8,ebola virus
74,4,1,ebola
74,4,8,ebola virus
75,1,1,ebola
75,1,2,"fever, chills, myalgias, and malaise"
75,1,8,evd
75,2,1,ebola
75,2,2,fever
75,2,3,differential diagnosis
74,2,1,ebola
74,2,2,"Clinical criteria, which include elevated body temperature or subjective fever or additional symptoms such as severe headache, fatigue, muscle pain, vomiting, diarrhea, abdominal pain, or unexplained hemorrhage"
74,2,5,"residence in—or travel to—a country with widespread transmission or cases in urban settings with uncertain control measures; participation in funeral and burial rituals, or direct handling of bats, rodents, or primates from disease-endemic areas."
74,2,8,evd
75,3,1,ebola
75,3,2,"fever, chills, and general malaise, but low-grade fever and malaise"
75,3,8,ebola virus
74,5,1,ebola
74,5,2,"Rash — A diffuse erythematous, nonpruritic maculopapular rash"
74,5,6,2014-2015
74,5,8,ebola virus
74,6,1,ebola
74,6,2,"diarrhea, chest pain, cough, difficulty breathing, difficulty swallowing, conjunctivitis, sore throat, confusion, hiccups, and coma or unconsciousness."
43,1,1,ebola
43,1,2,fatal illness
43,1,3,"physical examination findings, while laboratory data suggested the subjects were undergoing an intense inflammatory response"
43,1,6,2014-2015
43,1,8,ebola virus
43,2,1,leukopenia
43,3,1,ebola
43,3,2,breaks in skin
43,3,8,ebola virus
43,4,1,ebola
43,4,8,ebola virus
43,5,1,ebola
43,5,5,"kits were put together to help families treat Ebola disease in their homes, which include protective clothing as well as chlorine powderand other cleaning supplies.[87] Education of those who provide care in these techniques, and the provision of such barrier-separation supplies has been a priority of Doctors Without Borders"
43,5,6,2014
43,5,8,"All equipment, medical waste, patient waste and surfaces that may have come into contact with body fluids need to be disinfected"
85,1,7,this week
85,2,7,time
85,2,8,virus
85,3,7,first
85,3,8,virus
85,4,4,ZMapp
85,4,7,first
87,1,7,first
87,1,8,virus
87,2,5,worn suits
87,2,8,bodily fluids
89,1,4,ZMapp
89,1,7,week after
89,1,7,early August
89,1,8,virus
89,2,7,first
89,2,8,virus
89,3,7,This week
89,4,4,ZMapp
89,4,8,virus
90,1,7,this week
90,1,7,first
90,2,7,in
92,1,7,last month
92,1,8,virus
92,2,8,"blood, saliva and urine"
92,2,7,Historically
92,2,8,bodily fluids
93,1,7,Aug. 19 and Aug. 21
93,1,7,Aug. 21
93,1,7,Aug. 12
93,1,7,Aug. 5
93,1,7,Aug. 2
93,2,7,Sept. 9
93,2,7,Sept. 8
93,2,7,Sept. 3
94,1,7,first
94,1,8,virus
94,2,5,good isolation practices
94,2,7,first
95,1,7,later
95,1,7,first
95,2,7,Last week
95,2,7,over the past two months
96,1,7,first
96,1,7,in
96,1,7,In months
96,2,8,virus
97,1,7,first
97,1,8,virus
97,2,7,first
97,2,8,virus
98,1,4,serum
98,1,7,first
98,2,7,late Tuesday
99,1,7,first
99,1,7,after
99,1,7,recently
99,2,7,Since
100,1,7,first
100,1,7,12 years 
100,1,8,viruses
100,2,7,Saturday
100,2,7,first
101,1,7,first
101,1,8,virus
101,2,7,before
101,2,7,first
102,1,7,first
102,1,4,Zmapp
102,1,7,since
102,1,7,later
102,1,7,late July
102,2,4,serum from convalescents
102,2,7,later
102,2,7,1976
47,13,7,at least 7 days
47,13,1,75 days on average
47,13,7,vary from 30 to 180 days
47,13,7, within 30 to 60 days
47,14,2,chronic infection
47,14,2,cirrhosis and liver cancer
52,15,7,lasting 1.5 to 6 months
52,15,7,average 4 months
52,15,7,first 6 months
52,15,2,mild illness
52,16,1,risk for hepatitis
58,17,7,60 to 90 days
58,17,7,as soon as 45 days
58,17,7,as late as 180 days
58,18,8,"blood, semen, or vaginal fluids"
61,19,1,2–3 months
61,19,7,averages
61,19,7,range
61,19,1,incubation period correlating
61,20,1,extrahepatic manifestations
69,21,1,3–5 million cholera cases
69,21,1,100 000–120 000 deaths
69,21,1,two hours to five days
69,21,7,short incubation period
69,22,5,preparedness and response
70,23,1,1.4 days
70,23,7,by 0.5 days
70,23,7,95% by 4.4 days
70,24,3,extracted individual-level data
70,24,3,parametrically estimated
70,24,3,evaluated evidence
70,25,1,two hours and five days
70,25,7,between
70,25,5,returning from Haiti
153,2,1,malaria
153,2,4,one type of medication
153,2,4,anti-malarial medicines
153,2,7,over the past few decades
153,2,8,Plasmodium falciparum
153,3,1,malaria
153,3,4,anti-malarial medicine
153,3,7,first
153,3,7,for several weeks afterwards.
154,1,1,malaria
154,1,2,feeling very weak and tired 
154,1,4,how quickly treatment is administered
154,1,7,recovery time from malaria
154,1,7,several weeks afterwards
154,2,1,malaria
154,2,7,within a couple of days
154,2,7,for longer
154,2,8,P. malariae
154,2,8,P. falciparum
155,1,1,cerebral malaria
155,1,2,neurological effects
155,1,7,some longer term
155,1,8,P. falciparum
155,2,1,malaria
155,2,1,P. ovale and P. vivax
155,2,7,at a later date
155,2,7,"for weeks, months or even years"
156,1,1,malaria
156,1,1,P. vivax and P. ovale
156,1,2,person will become sick.
156,1,7,7 days or as late as 1 year later
156,1,7,10 days to 4 weeks after infection
156,1,8,infected mosquito
156,2,1,malaria
156,2,1,P. vivax and P. ovale
156,2,4,Antimalarial drugs
156,2,8,mosquito
156,2,7,months after
156,2,7,weeks or months
156,2,8, dormant liver stage parasites
156,1,1,Ebola
156,1,2,severe clinical signs
156,1,2,multiorgan failure and septic shock
156,1,7,between days 6 and 16
157,1,1,Ebola
157,1,2,sick
157,1,7,last year
157,1,1,Ebola
157,1,2,sick
157,1,4,vaccine
157,1,7,last year
157,1,1,malaria
157,1,2,"fever, chills, sweating"
157,1,4,proper treatment
157,1,7,over a period of years
157,1,7,two weeks
157,2,1,malaria
157,2,4,antimalarial drugs
157,2,4,"medications to control fever, antiseizure medications"
157,2,4,fluids and electrolytes
157,1,1,malaria
157,1,4,Antimalarial Pills
157,1,4,medications to control fever
157,1,7,within two weeks
158,1,1,malaria
158,1,4,regular dose of penicillin
158,1,4,penicillin by mouth
158,1,4,single injection of penicillin G-
158,1,7,10-day
158,1,7,every three weeks
158,2,1,malaria
158,2,4,antibiotic
158,2,7,within 10 days
158,2,8,bacteria
158,3,1,malaria
158,3,2,develops carditis
158,3,4,valve replacement surgery
159,1,1,malaria
159,1,4,artemether-lumefantrine
159,1,4,quinine therapy
159,1,7,seven day
160,1,1,malaria
160,1,2,nerve damage
160,1,7,over the course of years
160,1,1,typhus
160,1,2,gastrointestinal bleeding or rupture of the intestines
160,1,7,a life
160,1,7,two to three weeks
161,1,1,typhus
161,1,7,just a few weeks later
161,1,7,first
161,1,7,second
162,1,1,cholera
162,1,2,diarrhea
162,1,2,severe diarrhea and vomiting
162,1,4,replacement of the fluid and salts
162,1,4,oral rehydration solution
162,1,4,prepackaged mixture of sugar and salts to be mixed with water
163,1,1,malaria
163,1,4,antibiotics
163,1,4,doxycycline and chloramphenical
163,1,8,bacteria
163,2,1,typhus
163,2,4,antibiotics
163,2,5,to control the rodent population
163,2,8,infected insects
164,1,1,cholera
164,1,2,diarrheal
164,1,4,Antibiotics
164,1,7,within 5-6 days
164,1,8,cholera organism
164,2,1,cholera
164,2,2,watery diarrhea
164,2,3,Pathological strains
164,2,7,last for only several days
164,2,8,V. cholerae
164,3,1,cholera
164,3,8,bacterial
164,3,8,Lieberkühn
164,1,1,cholera
