QID,URLNO,PNO,REL,EXPL
1,1,1,1,first cae in new york 2014
1,1,2,1,first case texas
1,3,1,1,first case congo
1,5,1,1,14-Mar
1,5,2,0,not first case
1,5,3,0,not first case
1,5,4,0,not first case
1,2,1,0,not first n texas
1,4,1,1,first in africa
1,6,1,0,1976
2,7,1,0,guniea
2,19,1,1,firs case in us
2,19,2,0,second case
2,21,1,1,africa initial spread
2,21,2,1,to US
2,21,3,0,its not 2014
2,32,1,0,only statistics
2,6,2,1,2014
2,6,3,0,virus causing not relevant
2,38,1,1,quick spread in 2014
1,124,1,1,relevant
1,124,2,1,relevant
1,124,3,1,relevant
1,128,1,1,relevant
1,129,1,1,relevant
1,22,2,1,relevant
1,22,1,1,relevant
1,23,1,1,relevant
1,24,1,0,irrelevant
1,25,1,1,relevant
1,26,1,1,relevant
1,26,2,1,relevant
1,25,2,0,irrelevant
1,25,3,0,irrelevant
1,25,4,0,irrelevant
1,25,5,0,irrelevant
2,26,1,1,relevant
2,26,2,1,relevant
2,26,3,1,relevant
2,27,1,1,relevant
2,27,2,1,relevant
2,26,3,0,irrelevant
2,26,4,0,irrelevant
2,26,5,0,irrelevant
2,28,1,0,irrelevant
2,28,2,0,irrelevant
3,30,1,1,relevant
3,30,2,1,relevant
3,29,3,1,relevant
3,31,1,1,relevant
3,31,2,1,relevant
3,32,1,0,irrelevant
3,32,2,0,irrelevant
3,32,3,0,irrelevant
3,32,4,0,irrelevant
3,32,5,0,irrelevant
4,74,1,1,relevant
4,74,3,1,relevant
4,74,4,1,relevant
4,75,1,1,relevant
4,75,2,1,relevant
4,74,2,0,irrelevant
4,75,3,0,irrelevant
4,74,4,0,irrelevant
4,74,5,0,irrelevant
4,74,6,0,irrelevant
5,43,1,1,relevant
5,43,2,1,relevant
5,43,3,1,relevant
5,43,4,1,relevant
5,43,5,1,relevant
8,85,4,0,does not give information about successful treatment
8,87,1,1,tells who first got treated
8,87,2,0,does not tell if they got treated
8,89,1,1,tells exactly who got successfully treated for ebola
8,89,2,1,tells who got treated
8,89,3,0,does not tell who are first treated
8,89,4,0,does not tell who got treated 
9,90,1,1,tells who first got treated
9,90,2,0,does not tell if they got treated
9,92,1,1,tells that brantly and writebol got treated
9,92,2,0,does not tell who got treated 
9,93,1,1,tells who got treated and when
9,93,2,0,does not tell about first
9,94,1,1,tells exactly who got successfully treated for ebola
9,94,2,0,does not tell about first
9,95,1,1,tells who got treated
9,95,2,0,does not tell about brantly
10,96,1,1,tells who got first treated
10,96,2,0,does not tell about first
10,97,1,1,tells who got treated
10,97,2,0,does not tell about first
10,98,1,1,tells who got treated
10,98,2,0,does not tell who got treated 
10,99,1,1,tells who survived ebola
10,99,2,0,does not tell who is first treated
10,100,1,1,tells who first got treated
10,100,2,0,does not tell if they got treated
11,101,1,1,tells who got treated
11,101,2,0,does not tell who got treated 
11,102,1,1,tells brantly has recovered
11,102,2,0,does not tell who got treated 
3,71,25,1,Gives the incubation period of Cholera
3,71,26,0,Does not give any indication of Incubation period
3,72,27,1,Gives the incubation period of Cholera
3,72,28,0,Does not give any indication of Incubation period
3,73,29,1,Gives the incubation period of Cholera
3,73,30,0,Does not give any indication of Incubation period
4,91,31,1,Gives the incubation period of Typhus
4,91,32,0,Does not give any indication of Incubation period
4,108,33,1,Gives the incubation period of Typhus
4,108,34,0,Does not give any indication of Incubation period
3,118,1,1,Gives the quarantine period of Ebola
3,118,2,0,Does not gives the quarantine period of Ebola
103,311,1,1,It is giving the relevant information
103,311,2,1,It is giving the relevant information
103,311,3,0,It is not giving the relevant information
103,311,4,0,It is not giving the relevant information
104,312,1,1,It is giving the relevant information
104,313,1,1,It is giving the relevant information
104,313,2,1,It is giving the relevant information
104,314,1,1,It is giving the relevant information
104,314,2,1,It is giving the relevant information
104,314,3,0,It is not giving the relevant information
104,314,4,0,It is not giving the relevant information
105,315,1,1,It is giving the relevant information
105,316,1,1,It is giving the relevant information
105,316,2,1,It is giving the relevant information
105,317,1,1,It is giving the relevant information
105,318,1,1,It is giving the relevant information
105,319,1,0,It is not giving the relevant information
105,319,2,0,It is not giving the relevant information
116,352,1,1,It is giving the relevant information
116,352,2,1,It is giving the relevant information
